"NSS 2025 results for students registered at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 2: Learning opportunities,173,217,,,,,,,,85.5,84,1.6,2.7,3.6,6.5,57.2,36.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q10: How clear were the marking criteria used to assess your work? ,171,217,,69,77,21,4,0,2,85.4,70,15.4,3.1,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q11: How fair has the marking and assessment been on your course? ,173,217,,47,102,20,4,0,0,86.1,83.1,3,2.7,3.7,2.1,40.7,57.2,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q12: How well have assessments allowed you to demonstrate what you have learned?,173,217,,54,85,30,4,0,0,80.3,80.4,0,2.9,3.6,19.8,60.9,19.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q13: How often have you received assessment feedback on time?,173,217,,99,56,14,4,0,0,89.6,73.2,16.4,2.8,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q14: How often does feedback help you to improve your work?,171,217,,46,71,44,10,0,2,68.4,60.4,8,3.5,3.6,0.1,5.7,94.1,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 3: Assessment and feedback,173,217,,,,,,,,82,73.4,8.6,3.1,3.6,0,2.5,97.5,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q15: How easy was it to contact teaching staff when you needed to?,168,217,,62,75,27,4,0,5,81.5,84.7,-3.1,2.7,3.6,59.2,38.9,2,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q16: How well have teaching staff supported your learning?,172,217,,46,108,13,5,0,1,89.5,84.4,5.1,2.5,3.7,0.1,14.6,85.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 4: Academic support,172,217,,,,,,,,85.8,84.6,1.1,2.6,3.6,8.3,62,29.7,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q17: How well organised is your course?,173,217,,40,94,30,9,0,0,77.5,62.1,15.3,3.3,3.6,0,0,100,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q18: How well were any changes to teaching on your course communicated?,173,217,,45,70,46,12,0,0,66.5,63.4,3.1,3.5,3.7,5.2,37.7,57.1,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 5: Organisation and management,173,217,,,,,,,,72,62.7,9.3,3.4,3.6,0,2.3,97.6,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q19: How well have the IT resources and facilities supported your learning?,172,217,,44,94,29,5,0,1,80.2,81.5,-1.2,2.8,3.7,32.9,57.7,9.5,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",166,217,,54,84,22,6,0,7,83.1,87.9,-4.7,2.6,3.7,80.4,19.3,0.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",168,217,,54,84,25,5,0,5,82.1,83.7,-1.5,2.8,3.7,36.1,56.5,7.5,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 6: Learning resources,173,217,,,,,,,,82,84.3,-2.3,2.7,3.7,46.9,49,4.1,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q22: To what extent do you get the right opportunities to give feedback on your course?,173,217,,94,54,19,6,0,0,85.5,87.1,-1.5,2.5,3.7,34.8,59.8,5.4,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q23: To what extent are students' opinions about the course valued by staff?,173,217,,57,66,35,15,0,0,71.1,69.4,1.7,3.3,3.7,10.2,48.9,40.9,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q24: How clear is it that students' feedback on the course is acted on?,173,217,,49,74,33,17,0,0,71.1,61.3,9.8,3.5,3.7,0,1.7,98.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 7: Student voice,173,217,,,,,,,,75.9,72.6,3.3,3.2,3.7,3.5,36.6,59.9,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q25: How well does the students' union (association or guild) represent students' academic interests?,153,217,,40,79,27,7,0,20,77.8,73.6,4.2,3.3,3.7,2.1,28.5,69.4,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q26: How well communicated was information about your university/college's mental wellbeing support services?,169,217,,70,79,14,6,0,4,88.2,85.3,2.9,2.5,3.6,1.5,42.7,55.8,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",169,217,,55,90,15,9,0,4,85.8,80.4,5.4,2.8,4.6,0.2,14.8,85,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC1: I received sufficient preparatory information prior to my placement(s).,172,217,,39,87,20,21,5,0,73.3,70.2,3.1,3.3,3.9,4.5,38.8,56.7,172,79.3
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC2: I was allocated placement(s) suitable for my course.,172,217,,85,71,9,5,2,0,90.7,90.2,0.5,2.2,3.9,8.6,73.7,17.7,172,79.3
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC3: I received appropriate supervision on placement(s).,172,217,,53,76,23,14,6,0,75,76.2,-1.2,3.2,3.9,34.5,53.7,11.8,172,79.3
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC4: I was given opportunities to meet my required practice learning outcomes / competences.,171,217,,55,86,20,7,3,0,82.5,84.8,-2.4,2.7,3.9,48.3,48.1,3.6,172,79.3
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC5: My contribution during placement(s) as part of the clinical team was valued.,171,217,,36,61,39,23,12,0,56.7,55.9,0.9,3.6,3.9,17.8,49.6,32.6,172,79.3
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,HC6: My practice supervisor(s) understood how my placement(s) related to the broader requirements of my course.,171,217,,37,66,35,24,9,0,60.2,68.3,-8.1,3.5,3.9,94.5,5.4,0.1,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q01: How good are teaching staff at explaining things?,173,217,,41,119,11,2,0,0,92.5,90.5,2,2,3.6,1.4,58.4,40.2,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q02: How often do teaching staff make the subject engaging?,173,217,,39,115,18,1,0,0,89,82.2,6.8,2.6,3.6,0,4.8,95.2,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q03: How often is the course intellectually stimulating?,173,217,,106,60,5,2,0,0,96,93.6,2.4,1.7,3.6,0.2,53.2,46.5,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q04: How often does your course challenge you to achieve your best work?,173,217,,83,54,32,4,0,0,79.2,84.9,-5.7,2.8,3.7,87.2,12.6,0.2,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 1: Teaching on my course,173,217,,,,,,,,89.2,87.8,1.4,2.4,3.6,5.1,62.8,32.1,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,173,217,,60,78,32,3,0,0,79.8,81,-1.2,2.9,3.7,33.1,57,9.9,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,173,217,,96,67,9,1,0,0,94.2,88.1,6.1,2.1,3.7,0,4.7,95.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,173,217,,100,54,18,1,0,0,89,90.3,-1.2,2.3,3.7,28.9,66.2,4.9,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q08: To what extent does your course have the right balance of directed and independent study?,173,217,,57,66,34,16,0,0,71.1,68.5,2.6,3.4,3.6,6.5,42.1,51.4,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,173,217,,100,62,10,1,0,0,93.6,92.3,1.3,1.9,3.6,2.4,70.9,26.8,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 2: Learning opportunities,173,217,,,,,,,,85.5,84,1.6,2.7,3.6,6.5,57.2,36.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q10: How clear were the marking criteria used to assess your work? ,171,217,,69,77,21,4,0,2,85.4,70,15.4,3.1,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q11: How fair has the marking and assessment been on your course? ,173,217,,47,102,20,4,0,0,86.1,83.1,3,2.7,3.7,2.1,40.7,57.2,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q12: How well have assessments allowed you to demonstrate what you have learned?,173,217,,54,85,30,4,0,0,80.3,80.4,0,2.9,3.6,19.8,60.9,19.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q13: How often have you received assessment feedback on time?,173,217,,99,56,14,4,0,0,89.6,73.2,16.4,2.8,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q14: How often does feedback help you to improve your work?,171,217,,46,71,44,10,0,2,68.4,60.4,8,3.5,3.6,0.1,5.7,94.1,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 3: Assessment and feedback,173,217,,,,,,,,82,73.4,8.6,3.1,3.6,0,2.5,97.5,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q15: How easy was it to contact teaching staff when you needed to?,168,217,,62,75,27,4,0,5,81.5,84.7,-3.1,2.7,3.6,59.2,38.9,2,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q16: How well have teaching staff supported your learning?,172,217,,46,108,13,5,0,1,89.5,84.4,5.1,2.5,3.7,0.1,14.6,85.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 4: Academic support,172,217,,,,,,,,85.8,84.6,1.1,2.6,3.6,8.3,62,29.7,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q17: How well organised is your course?,173,217,,40,94,30,9,0,0,77.5,62.1,15.3,3.3,3.6,0,0,100,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q18: How well were any changes to teaching on your course communicated?,173,217,,45,70,46,12,0,0,66.5,63.4,3.1,3.5,3.7,5.2,37.7,57.1,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 5: Organisation and management,173,217,,,,,,,,72,62.7,9.3,3.4,3.6,0,2.3,97.6,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q19: How well have the IT resources and facilities supported your learning?,172,217,,44,94,29,5,0,1,80.2,81.5,-1.2,2.8,3.7,32.9,57.7,9.5,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",166,217,,54,84,22,6,0,7,83.1,87.9,-4.7,2.6,3.7,80.4,19.3,0.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",168,217,,54,84,25,5,0,5,82.1,83.7,-1.5,2.8,3.7,36.1,56.5,7.5,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 6: Learning resources,173,217,,,,,,,,82,84.3,-2.3,2.7,3.7,46.9,49,4.1,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q22: To what extent do you get the right opportunities to give feedback on your course?,173,217,,94,54,19,6,0,0,85.5,87.1,-1.5,2.5,3.7,34.8,59.8,5.4,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q23: To what extent are students' opinions about the course valued by staff?,173,217,,57,66,35,15,0,0,71.1,69.4,1.7,3.3,3.7,10.2,48.9,40.9,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q24: How clear is it that students' feedback on the course is acted on?,173,217,,49,74,33,17,0,0,71.1,61.3,9.8,3.5,3.7,0,1.7,98.3,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Theme 7: Student voice,173,217,,,,,,,,75.9,72.6,3.3,3.2,3.7,3.5,36.6,59.9,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q25: How well does the students' union (association or guild) represent students' academic interests?,153,217,,40,79,27,7,0,20,77.8,73.6,4.2,3.3,3.7,2.1,28.5,69.4,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,Q26: How well communicated was information about your university/college's mental wellbeing support services?,169,217,,70,79,14,6,0,4,88.2,85.3,2.9,2.5,3.6,1.5,42.7,55.8,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",169,217,,55,90,15,9,0,4,85.8,80.4,5.4,2.8,4.6,0.2,14.8,85,173,79.7
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC1: I received sufficient preparatory information prior to my placement(s).,172,217,,39,87,20,21,5,0,73.3,70.2,3.1,3.3,3.9,4.5,38.8,56.7,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC2: I was allocated placement(s) suitable for my course.,172,217,,85,71,9,5,2,0,90.7,90.2,0.5,2.2,3.9,8.6,73.7,17.7,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC3: I received appropriate supervision on placement(s).,172,217,,53,76,23,14,6,0,75,76.2,-1.2,3.2,3.9,34.5,53.7,11.8,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC4: I was given opportunities to meet my required practice learning outcomes / competences.,171,217,,55,86,20,7,3,0,82.5,84.8,-2.4,2.7,3.9,48.3,48.1,3.6,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC5: My contribution during placement(s) as part of the clinical team was valued.,171,217,,36,61,39,23,12,0,56.7,55.9,0.9,3.6,3.9,17.8,49.6,32.6,172,79.3
All modes,All undergraduates,CAH2,CAH01-01,Medicine and dentistry,HC6: My practice supervisor(s) understood how my placement(s) related to the broader requirements of my course.,171,217,,37,66,35,24,9,0,60.2,68.3,-8.1,3.5,3.9,94.5,5.4,0.1,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q01: How good are teaching staff at explaining things?,173,217,,41,119,11,2,0,0,92.5,90.5,2,2,3.6,1.4,58.4,40.2,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q02: How often do teaching staff make the subject engaging?,173,217,,39,115,18,1,0,0,89,82.2,6.8,2.6,3.6,0,4.8,95.2,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q03: How often is the course intellectually stimulating?,173,217,,106,60,5,2,0,0,96,93.6,2.4,1.7,3.6,0.2,53.2,46.5,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q04: How often does your course challenge you to achieve your best work?,173,217,,83,54,32,4,0,0,79.2,84.9,-5.7,2.8,3.7,87.2,12.6,0.2,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 1: Teaching on my course,173,217,,,,,,,,89.2,87.8,1.4,2.4,3.6,5.1,62.8,32,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,173,217,,60,78,32,3,0,0,79.8,81,-1.2,2.9,3.7,33.1,57,9.9,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,173,217,,96,67,9,1,0,0,94.2,88.1,6.1,2.1,3.7,0,4.6,95.4,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q07: To what extent have you had the chance to bring together information and ideas from different topics?,173,217,,100,54,18,1,0,0,89,90.3,-1.2,2.3,3.7,28.9,66.2,4.9,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q08: To what extent does your course have the right balance of directed and independent study?,173,217,,57,66,34,16,0,0,71.1,68.5,2.6,3.4,3.6,6.4,42.1,51.4,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,173,217,,100,62,10,1,0,0,93.6,92.3,1.3,1.9,3.6,2.3,70.9,26.8,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 2: Learning opportunities,173,217,,,,,,,,85.5,84,1.6,2.7,3.6,6.5,57.2,36.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q10: How clear were the marking criteria used to assess your work? ,171,217,,69,77,21,4,0,2,85.4,70,15.4,3.1,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q11: How fair has the marking and assessment been on your course? ,173,217,,47,102,20,4,0,0,86.1,83.1,3,2.7,3.7,2.1,40.7,57.2,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q12: How well have assessments allowed you to demonstrate what you have learned?,173,217,,54,85,30,4,0,0,80.3,80.4,0,2.9,3.6,19.8,61,19.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q13: How often have you received assessment feedback on time?,173,217,,99,56,14,4,0,0,89.6,73.2,16.4,2.8,3.7,0,0,100,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q14: How often does feedback help you to improve your work?,171,217,,46,71,44,10,0,2,68.4,60.4,8,3.5,3.6,0.1,5.7,94.1,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 3: Assessment and feedback,173,217,,,,,,,,82,73.4,8.6,3.1,3.6,0,2.5,97.5,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q15: How easy was it to contact teaching staff when you needed to?,168,217,,62,75,27,4,0,5,81.5,84.7,-3.1,2.7,3.6,59.2,38.9,2,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q16: How well have teaching staff supported your learning?,172,217,,46,108,13,5,0,1,89.5,84.4,5.1,2.5,3.7,0.1,14.6,85.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 4: Academic support,172,217,,,,,,,,85.8,84.6,1.1,2.6,3.6,8.3,62,29.7,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q17: How well organised is your course?,173,217,,40,94,30,9,0,0,77.5,62.1,15.3,3.3,3.6,0,0,100,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q18: How well were any changes to teaching on your course communicated?,173,217,,45,70,46,12,0,0,66.5,63.4,3.1,3.5,3.7,5.2,37.7,57.1,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 5: Organisation and management,173,217,,,,,,,,72,62.7,9.3,3.4,3.6,0,2.3,97.6,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q19: How well have the IT resources and facilities supported your learning?,172,217,,44,94,29,5,0,1,80.2,81.5,-1.2,2.8,3.7,32.9,57.7,9.5,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",166,217,,54,84,22,6,0,7,83.1,87.9,-4.7,2.6,3.7,80.4,19.3,0.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",168,217,,54,84,25,5,0,5,82.1,83.7,-1.5,2.8,3.7,36.1,56.5,7.4,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 6: Learning resources,173,217,,,,,,,,82,84.3,-2.3,2.7,3.7,46.9,49,4.1,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q22: To what extent do you get the right opportunities to give feedback on your course?,173,217,,94,54,19,6,0,0,85.5,87.1,-1.5,2.5,3.7,34.8,59.8,5.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q23: To what extent are students' opinions about the course valued by staff?,173,217,,57,66,35,15,0,0,71.1,69.4,1.7,3.3,3.7,10.2,48.9,40.9,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q24: How clear is it that students' feedback on the course is acted on?,173,217,,49,74,33,17,0,0,71.1,61.3,9.8,3.5,3.7,0,1.7,98.3,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 7: Student voice,173,217,,,,,,,,75.9,72.6,3.3,3.2,3.7,3.5,36.6,59.9,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q25: How well does the students' union (association or guild) represent students' academic interests?,153,217,,40,79,27,7,0,20,77.8,73.6,4.2,3.3,3.7,2.1,28.5,69.4,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Q26: How well communicated was information about your university/college's mental wellbeing support services?,169,217,,70,79,14,6,0,4,88.2,85.3,2.9,2.5,3.6,1.5,42.7,55.8,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",169,217,,55,90,15,9,0,4,85.8,80.4,5.4,2.8,4.6,0.2,14.8,85,173,79.7
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC1: I received sufficient preparatory information prior to my placement(s).,172,217,,39,87,20,21,5,0,73.3,70.2,3.1,3.3,3.9,4.5,38.8,56.7,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC2: I was allocated placement(s) suitable for my course.,172,217,,85,71,9,5,2,0,90.7,90.2,0.5,2.2,3.9,8.6,73.7,17.7,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC3: I received appropriate supervision on placement(s).,172,217,,53,76,23,14,6,0,75,76.2,-1.2,3.2,3.9,34.5,53.7,11.8,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC4: I was given opportunities to meet my required practice learning outcomes / competences.,171,217,,55,86,20,7,3,0,82.5,84.8,-2.4,2.7,3.9,48.3,48.1,3.6,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC5: My contribution during placement(s) as part of the clinical team was valued.,171,217,,36,61,39,23,12,0,56.7,55.9,0.9,3.6,3.9,17.8,49.6,32.6,172,79.3
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),HC6: My practice supervisor(s) understood how my placement(s) related to the broader requirements of my course.,171,217,,37,66,35,24,9,0,60.2,68.3,-8.1,3.5,3.9,94.5,5.4,0.1,172,79.3
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q01: How good are teaching staff at explaining things?,313,441.7,,74,222,15.5,1.5,0,0,94.6,93,1.6,1.4,7.5,0.1,74.7,25.2,367,70.9
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q02: How often do teaching staff make the subject engaging?,313,441.7,,44,211.5,52.5,5,0,0,81.6,79.4,2.2,2,7.5,1,54.7,44.3,367,70.9
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q03: How often is the course intellectually stimulating?,312,441.7,,122,158,28.5,3.5,0,1,89.7,87.8,2,1.8,7.5,0.6,61,38.4,367,70.9
